Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Mr,Mr,MP,Abdo,Basem,Jamal,Basem,B. J.,Calwell,VIC,ALP,Male,(02) 6277 4503,14 Dimboola Road,,Broadmeadows,VIC,3047,(03) 9367 5216,,,PO Box 3218,Broadmeadows,VIC,3047,,,,,,
Hon,Mr,MP,Albanese,Anthony,Norman,Anthony,A. N.,Grayndler,NSW,ALP,Male,(02) 6277 7700,334A Marrickville Road,,Marrickville,NSW,2204,(02) 9564 3588,(02) 9564 1734,,PO Box 5100,Marrickville,NSW,2204,,,,,,Prime Minister
Ms,Ms,MP,Aldred,Mary,Rose,Mary,M. R.,Monash,VIC,LP,Female,(02) 6277 4507,46C Albert Street,,Warragul,VIC,3820,(03) 5614 3600,,,46C Albert Street,Warragul,VIC,3820,,,,,,
Hon Dr,Dr,MP,Aly,Anne,,Anne,A.,Cowan,WA,ALP,Female,(02) 6277 7630,"Shop 6A, Stirling Central Shopping Central",478 Wanneroo Road,Westminster,WA,6061,(08) 9409 4517,,,PO Box 219,Kingsway,WA,6065,,,,,,"Minister for Small BusinessMinister for International DevelopmentMinister for Multicultural Affairs"
Ms,Ms,MP,Ambihaipahar,Ash,,Ash,A.,Barton,NSW,ALP,Female,(02) 6277 4511,"Level 2, 24 Montgomery Street",,Kogarah,NSW,2217,(02) 9587 1555,,,PO Box 32,Kogarah,NSW,2217,,,,,,
Mr,Mr,MP,Batt,David,John,David,D. J.,Hinkler,QLD,LNP,Male,(02) 6277 4517,41 Woongarra Street,,Bundaberg,QLD,4670,(07) 4152 0744,,,PO Box 535,Bundaberg,QLD,4670,,,,,Deputy Nationals Whip,
Ms,Ms,MP,Bell,Angie,Marion,Angie,A. M,Moncrieff,QLD,LNP,Female,(02) 6277 4390,65-67 Thomas Drive,,Chevron Island ,QLD,4217,(07) 5504 6000,,,PO Box 4922,Gold Coast MC,QLD,9726,,,,,,
Ms,Ms,MP,Belyea,Jodie,Anne,Jodie,J. A.,Dunkley,VIC,ALP,Female,(02) 6277 4370,37 Playne Street,,Frankston,VIC,3199,(03) 9781 2333,,,,,,,,,,,,
Ms,Ms,MP,Berry,Carol,Gaye,Carol,C. G.,Whitlam,NSW,ALP,Female,(02) 6277 4525,"Shop 244, Stockland Shopping Centre",,Shellharbour,NSW,2529,(02) 4297 2285,,,PO Box 264,Shellharbour City Centre,NSW,2529,,,,,,
Mr,Mr,MP,Birrell,Sam,James,Sam,S. J.,Nicholls,VIC,NATS,Male,(02) 6277 2130,426 Wyndham Street,,Shepparton,VIC,3630,(03) 5821 5371,,,PO Box 884,Shepparton,VIC,3632,,,,,,
Ms,Ms,MP,Boele,Nicolette,,Nicolette,N.,Bradfield,NSW,IND,Female,(02) 6277 4528,"Suite 1, Level 2, 280 Pacific Highway",,Lindfield,NSW,2070,(02) 9465 3950,,,"Suite 1, Level 2, 280 Pacific Highway",Lindfield,NSW,2070,,,,,,
Hon,Mr,MP,Bowen,Christopher,Eyles,Chris,C. E.,McMahon,NSW,ALP,Male,(02) 6277 7120,Shops 3 & 4,398 Hamilton Road,Fairfield,NSW,2165,(02) 9604 0710,(02) 9609 3873,,PO Box W210,Fairfield West,NSW,2165,,,,,,Minister for Climate Change and Energy
Mr,Mr,MP,Boyce,Colin,Einar,Colin,C. E.,Flynn,QLD,LNP,Male,(02) 6277 2115,76 Goondoon Street,,Gladstone,QLD,4680,(07) 4972 5465,,,PO Box 5306,Gladstone,QLD,4680,,,,,,
Ms,Ms,MP,Briskey,Joanna,Leigh,Jo,J. L.,Maribyrnong,VIC,ALP,Female,(02) 6277 4530,"Suite 1A, 12 Hall Street",,Moonee Ponds,VIC,3039,(03) 9326 1300,,,PO Box 214,Moonee Ponds,VIC,3039,,,,,,
Hon,Mr,MP,Buchholz,Scott,,,S.,Wright,QLD,LNP,Male,(02) 6277 4144,21 William Street,,Beaudesert,QLD,4285,(07) 5541 0150,(07) 5541 4150,,PO Box 628,Beaudesert,QLD,4285,,,,,,
Hon,Mr,MP,Burke,Anthony,Stephen,Tony,A. S.,Watson,NSW,ALP,Male,(02) 6277 7860,"Shop 29, Broadway Plaza",,Punchbowl,NSW,2196,(02) 9750 9088,(02) 9759 2859,,PO Box 156,Punchbowl,NSW,2196,,,,,Leader of the House,"Minister for the ArtsMinister for Home AffairsMinister for Cyber SecurityMinister for Immigration and Citizenship"
Mr,Mr,MP,Burnell,Matt,Paul,Matt,M. P.,Spence,SA,ALP,Male,(02) 6277 4495,"Tenancy 8, 2-10 James Street",,Salisbury,SA,5108,(08) 8258 6300,,,,,,,,,,,,
Mr,Mr,MP,Burns,Josh,,Josh,J.,Macnamara,VIC,ALP,Male,(02) 6277 4479,219 Barkly Street,,St Kilda,VIC,3182,(03) 9534 8126,,,219 Barkly Street,St Kilda,VIC,3182,,,,,,
Hon,Mr,MP,Butler,Mark,Christopher,,M. C.,Hindmarsh,SA,ALP,Male,(02) 6277 7220,21 Commercial Road,,Port Adelaide,SA,5015,(08) 8241 0190,,,PO Box 2038,Port Adelaide,SA,5015,,,,,Deputy Leader of the House,"Minister for Disability and the National Disability Insurance SchemeMinister for Health and Ageing"
Ms,Ms,MP,Byrnes,Alison,Joy,Alison,A. J.,Cunningham,NSW,ALP,Female,(02) 6277 4532,74 Crown Street,,Wollongong,NSW,2500,(02) 4228 5899,,,,,,,,,,,,
Mr,Mr,MP,Caldwell,Cameron,Mackenzie,Cameron,C. M.,Fadden,QLD,LNP,Male,(02) 6277 2041,"Unit 1, 110 Brisbane Road",,Labrador,QLD,4215,(07) 5500 5919,,,Po Box 733,Biggera Waters,QLD,4216,,,,,Opposition Whip,
