Title,Salutation,Surname,First Name,Other Name,Preferred Name,Initials,Post Nominals,State,Political Party,Gender,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Label Address,Label Suburb,Label State,Label postcode,Parliamentary Titles
Senator,Senator,Allman-Payne,Penny,Jane,Penny,P.J.,,QLD,AG,Female,20-22 Herbert Street,,Gladstone,QLD,4680,(07) 4972 0380,,,PO Box 5304,Gladstone,QLD,4680,
Senator,Senator,Ananda-Rajah,Michelle,,Michelle,M.,,VIC,ALP,Female,Suite 1.03,261-271 Wattletree Road,Malvern,VIC,3144,(03) 9822 4422,,,PO Box 2293,Wattletree Road PO,VIC,3145,
Senator,Senator,Antic,Alexander,,Alex,A.,,SA,LP,Male,398 Main North Road,,Blair Athol,SA,5084,(08) 8205 1080,,,398 Main North Road,Blair Athol,SA,5084,
Senator,Senator,Askew,Wendy,,Wendy,W.,,TAS,LP,Female,46 Cameron Street,,Launceston,TAS,7250,(03) 6331 8501,,1300 134 468,PO Box 97,Launceston,TAS,7250,Opposition Whip in the Senate
Senator the Hon,Senator,Ayres,Timothy,,Tim,T.,,NSW,ALP,Male,Level 3,1A Lawson Square,Redfern,NSW,2016,(02) 9159 9330,,,PO Box 3306,Redfern,NSW,2016,Minister for Industry and Innovation; Minister for Science
Senator,Senator,Babet,Ralph,Didier,Ralph,R.D.,,VIC,UAP,Male,Suite 2,77 Victor Crescent,Narre Warren,VIC,3805,(03) 9070 1900,,,"Suite 2, 77 Victor Crescent",Narre Warren,VIC,3805,United Australia Party Whip
Senator,Senator,Blyth,Leah,,Leah,L.,,SA,LP,Female,107 Sir Donald Bradman Drive,,Hilton,SA,5033,(08) 8354 1644,,,107 Sir Donald Bradman Drive,Hilton,SA,5033,Deputy Opposition Whip in the Senate
Senator,Senator,Bragg,Andrew,James,Andrew,A.J.,,NSW,LP,Male,Shop 1,392 Oxford Street,Paddington,NSW,2021,(02) 9159 9320,,,PO Box 156,Paddington,NSW,2021,
Senator,Senator,Brockman,William,Edward,Slade,W.E.S.,,WA,LP,Male,"Unit 4, ",1 Harper Terrace,South Perth,WA,6151,(08) 6245 3305,,,"Unit 4, 1 Harper Terrace ",South Perth,WA,6151,Deputy President and Chair of Committees
Senator the Hon,Senator,Brown,Carol,Louise,Carol,C. L.,,TAS,ALP,Female,1st Floor,136 Davey Street,Hobart,TAS,7000,(03) 6231 0099,,1300 030 532,GPO Box 376,Hobart,TAS,7001,
Senator,Senator,Cadell,Ross,Philip,Ross,R.P.,,NSW,NATS,Male,Ground Floor,28-30 Bolton Street,Newcastle,NSW,2300,(02) 6492 0586,,,"Ground Floor, 28-30 Bolton Street",Newcastle,NSW,2300,
Senator the Hon,Senator,Canavan,Matthew,James,Matthew,M.J.,,QLD,NATS,Male,Ground Floor,34 East Street,Rockhampton,QLD,4700,(07) 4927 2003,,,PO Box 737,Rockhampton,QLD,4700,Nationals Whip in the Senate
Senator the Hon,Senator,Cash,Michaelia,Clare,Michaelia,M.C.,,WA,LP,Female,44 Outram Street,,West Perth,WA,6005,(08) 9226 2000,(08) 9226 2211,,PO Box 1966,West Perth,WA,6872,Leader of the Opposition in the Senate
Senator,Senator,Chandler,Claire,,Claire,C.,,TAS,LP,Female,42 Bridge Street,,Richmond,TAS,7025,(03) 6260 2018,,,PO Box 250,Richmond,TAS,7025,
Senator the Hon,Senator,Chisholm,Anthony,David,Anthony,A.D.,,QLD,ALP,Male,Level 1,53 Endeavour Boulevard,North Lakes,QLD,4509,(07) 3881 3710,,,PO Box 1117,North Lakes,QLD,4509,"Assistant Minister for Regional Development; Assistant Minister for Agriculture, Fisheries and Forestry; Assistant Minister for Resources (Deputy Manager of Government Business in the Senate)"
Senator,Senator,Ciccone,Raffaele,,Raff,R.,,VIC,ALP,Male,"Suite 12.01, Level 12",1 Collins Street,Melbourne,VIC,3000,(03) 9894 2098,,,"Suite 12.01, Level 12, 1 Collins Street",Melbourne,VIC,3000,
Senator the Hon,Senator,Colbeck,Richard,Mansell,Richard,R.M.,,TAS,LP,Male,5-7 Best Street,,Devonport,TAS,7310,(03) 6424 5960,(03) 6423 5244,,PO Box 603,Devonport,TAS,7310,
Senator,Senator,Collins,Jessica,,Jessica,J.,,NSW,LP,Female,"Commonwealth Parliamentary Offices, Suite 14.02, Level 14",25 Bligh Street,Sydney,NSW,2000,(02) 9159 9325,,,GPO Box 36,Sydney,NSW,2001,Deputy Opposition Whip in the Senate
Senator,Senator,Cox,Dorinda,,Dorinda,D.,,WA,ALP,Female,Shop 5,13 Riseley Street,Ardross,WA,6153,(08) 9228 3277,,1300 088 218,PO Box 53,Applecross,WA,6953,
Senator,Senator,Darmanin,Lisa,,Lisa,L.,,VIC,ALP,Female,Level 3 North,4 Treasury Place,East Melbourne,VIC,3002,(03) 9232 8260,,,"Level 3 North, 4 Treasury Place",East Melbourne,VIC,3002,Deputy Government Whip in the Senate
Senator,Senator,Dolega,Josh,,Josh,J.,,TAS,ALP,Male,1-3 Rooke Street,,Devonport,TAS,7310,(03) 6423 1933,,,PO Box 360,Devonport,TAS,7310,
Senator,Senator,Dowling,Richard,,Richard,R.,,TAS,ALP,Male,"Shop 3, Kingston Plaza",20 Channel Highway,Kingston,TAS,7050,(03) 6229 4444,,,PO Box 320,Kingston,TAS,7050,
Senator the Hon,Senator,Duniam,Jonathon,Roy,Jonathon,J.R.,,TAS,LP,Male,85 Macquarie Street,,Hobart,TAS,7000,(03) 6231 2444,,,GPO Box 453,Hobart,TAS,7001,Manager of Opposition Business in the Senate
Senator the Hon,Senator,Farrell,Donald,Edward,Don,D.E.,,SA,ALP,Male,Level 5,19 Gilles Street,Adelaide,SA,5000,(08) 8231 8400,,,PO Box 6338,Halifax Street,SA,5000,Minister for Trade and Tourism; Special Minister of State (Deputy Leader of the Government in the Senate)
Senator,Senator,Faruqi,Mehreen,,Mehreen,M.,,NSW,AG,Female,72 Campbell Street,,Surry Hills,NSW,2010,(02) 9211 1500,,,72 Campbell Street,Surry Hills,NSW,2010,Deputy Leader of the Australian Greens
Senator the Hon,Senator,Gallagher,Katherine,Ruth,Katy,K.R.,,ACT,ALP,Female,"Unit 3, 40 Corinna Street",,Phillip,ACT,2606,(02) 6230 0411,,,"Unit 3, 40 Corinna Street",Phillip,ACT,2606,Minister for the Public Service; Minister for Finance; Minister for Women; Minister for Government Services (Vice-President of the Executive Council and Manager of Government Business in the Senate)
Senator,Senator,Ghosh,Varun,,Varun,V.,,WA,ALP,Male,Tenancy 2,1195 Hay Street,West Perth,WA,6005,(08) 6245 3323,,1300 448 802 ,PO Box 190,West Perth,WA,6872,
Senator the Hon,Senator,Green,Nita,Louise,Nita,N.L.,,QLD,ALP,Female,141 - 143 Abbott Street,,Cairns,QLD,4870,(07) 4031 3498,,,PO Box 4716,Cairns Post Shop,QLD,4870,Assistant Minister for Tourism; Assistant Minister for Pacific Island Affairs; Assistant Minister for Northern Australia
Senator,Senator,Grogan,Karen,Ann,Karen,K.A.,,SA,ALP,Female,265 Churchill Road,,Prospect,SA,5082,(08) 8269 6022,,,265 Churchill Road,Prospect,SA,5082,Deputy Government Whip in the Senate
Senator,Senator,Hanson,Pauline,Lee,Pauline,P.L.,,QLD,PHON,Female,"Suite 3, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 7644,,,GPO Box 228,Brisbane,QLD,4001,Leader of Pauline Hanson’s One Nation and Pauline Hanson’s One Nation Whip
Senator,Senator,Hanson-Young,Sarah,Coral,Sarah,S.C.,,SA,AG,Female,"Level 7, 147  Pirie Street",,Adelaide,SA,5000,(08) 8227 0425,(08) 8227 0426,,"Level 7, 147 Pirie Street",Adelaide,SA,5000,Manager of Australian Greens Business in the Senate
Senator the Hon,Senator,Henderson,Sarah,Moya,Sarah,S.M.,,VIC,LP,Female,231-233 Moorabool Street,,Geelong,VIC,3220,(03) 5221 5900,,,PO Box 321,Geelong,VIC,3220,
Senator,Senator,Hodgins-May,Steph,,Steph,S.,,VIC,AG,Female,4 Treasury Place,,East Melbourne,VIC,3002,(03) 9381 1446,,,4 Treasury Place,East Melbourne,VIC,3002,
Senator the Hon,Senator,Hume,Jane,,Jane,J.,,VIC,LP,Female,223 Bridge Road,,Richmond,VIC,3121,(03) 9428 1773,,,PO Box 224,Richmond,VIC,3121,
Senator,Senator,Kovacic,Maria,,Maria,M.,,NSW,LP,Female,"Commonwealth Parliamentary Offices, Suite 10, Level 21",1 Bligh Street,Sydney,NSW,2000,(02) 8289 9770,,,GPO Box 36,Sydney,NSW,2001,
Senator,Senator,Lambie,Jacqui,,Jacqui,J.,,TAS,JLN,Female,Shop 4,22 Mount Street,Burnie,TAS,7320,(03) 6431 3112,,,PO Box 256,Burnie,TAS,7320,
Senator,Senator,Liddle,Kerrynne,Jeanette,Kerrynne,K.J.,,SA,LP,Female,Level 2,31 Ebenezer Place,Adelaide,SA,5000,(08) 8232 1144,,,"Level 2, 31 Ebenezer Place",Adelaide,SA,5000,
Senator the Hon,Senator,Lines,Susan,,Sue,S.,,WA,ALP,Female,51 Ord Street,,West Perth,WA,6005,(08) 9481 4844,(08) 9481 4244,1300 065 388,PO Box 1322,West Perth,WA,6872,President of the Senate
Senator the Hon,Senator,McAllister,Jennifer,Ryll,Jenny,J.R.,,NSW,ALP,Female,"Suite 501, Level 5",54-66 Wentworth Avenue,Surry Hills,NSW,2010,(02) 9719 8100,(02) 9719 8078,1300 301 752,"Suite 501, Level 5, 54-66 Wentworth Avenue",Surry Hills,NSW,2010,Minister for the National Disability Insurance Scheme
Senator the Hon,Senator,McCarthy,Malarndirri,,Malarndirri,M.,,NT,ALP,Female,38 Mitchell Street,,Darwin,NT,O800,(08) 8941 0003,(08) 8941 0071,,PO Box 1596,Darwin,NT,O801,Minister for Indigenous Australians
Senator,Senator,McDonald,Susan,Eileen,Susan,S.E.,,QLD,LNP,Female,Suite 3,520 Flinders Street,Townsville,QLD,4810,(07) 4771 3066,,1300 301 949,PO Box 2185,Townsville,QLD,4810,Deputy Leader of the Nationals in the Senate
Senator the Hon,Senator,McGrath,James,Anthony,James,J.A.,,QLD,LNP,Male,Tenancy A,2-4 Mitchell Street,Nambour,QLD,4560,(07) 5441 1800,(07) 5441 1699,1300 076 412,PO Box 772,Nambour,QLD,4560,Deputy Manager of Opposition Business in the Senate
Senator the Hon,Senator,McKenzie,Bridget,Grace,Bridget,B.G.,,VIC,NATS,Female,172 High Street,,Wodonga,VIC,3690,(02) 6024 2560,(02) 6024 2635,1300 889 103,172 High Street ,Wodonga,VIC,3690,Leader of the Nationals in the Senate
Senator,Senator,McKim,Nicholas,James,Nick,N.J.,,TAS,AG,Male,149B Macquarie Street,,Hobart,TAS,7000,(03) 6224 8899,(03) 6224 7599,1300 013 720,GPO Box 896,Hobart,TAS,7001,Australian Greens Whip
Senator ,Senator,McLachlan,Andrew,Lockhart,Andrew,A.L.,CSC,SA,LP,Male,"Level 1, 97 King William Street",,Kent Town,SA,5067,(08) 8362 8600,(08) 8362 8579,,"Level 1, 97 King William Street",Kent Town,SA,5067,
Senator,Senator,Mulholland,Corinne,,Corinne,C.,,QLD,ALP,Female,Level 1,90 Kittyhawk Drive,Chermside,QLD,4032,(07) 3252 7101,,,PO Box 2350,Chermside Centre,QLD,4032,
Senator,Senator,Nampijinpa Price,Jacinta,Suzette,Jacinta,J.S.,,NT,CLP,Female,"1, 229 McMillans Road",,Jingili,NT,O810,(08) 8948 3555,,,PO Box 40021,Casuarina,NT,O811,
Senator,Senator,O'Neill,Deborah,Mary,Deborah,D.M.,,NSW,ALP,Female,"Suite 3.12, The Platinum Building",4 Ilya Avenue,Erina,NSW,2250,(02) 4367 4565,(02) 4367 3506,,"Suite 3.12, The Platinum Building, 4 Ilya Avenue",Erina,NSW,2250,
Senator,Senator,O'Sullivan,Matthew,Anthony,Matt,M.A.,,WA,LP,Male,"Unit 10, Cockburn Gateway Shopping Centre",816 Beeliar Drive,Success,WA,6164,(08) 9226 5387,,,PO Box 3466,Success,WA,6964,
Senator,Senator,Paterson,James,William,James,J.,,VIC,LP,Male,"Ground floor, 63 York Street",,South Melbourne,VIC,3205,(03) 9690 2201,,,"Ground floor, 63 York Street",South Melbourne,VIC,3205,
Senator,Senator,Payman,Fatima,,Fatima,F.,,WA,AV,Female,"Commonwealth Parliamentary Offices, Level 7, Suite 4 and 5",1 The Esplanade,Perth,WA,6000,(08) 6245 3322,,,GPO Box B58,Perth,WA,6838,Australia's Voice Whip
Senator,Senator,Pocock,Barbara,,Barbara,B.,,SA,AG,Female,Level 1,110 King William Road,Goodwood,SA,5034,(08) 8272 7575,,,"Level 1, 110 King William Road",Goodwood,SA,5034,
Senator,Senator,Pocock,David,Willmer,David,D.W.,,ACT,IND,Male,Shop 1,25 Ernest Cavanagh Street,Gungahlin,ACT,2912,(02) 6247 6444,,,PO Box 705,Gungahlin,ACT,2912,Independent ACT Whip
Senator,Senator,Polley,Helen,,Helen,H.,,TAS,ALP,Female,"'The Charles', Suite 101",287 Charles Street,Launceston,TAS,7250,(03) 6331 2599,(03) 6331 2588,1300 013 923,PO Box 1223,Launceston,TAS,7250,
Senator,Senator,Roberts,Malcolm,Ieuan,Malcolm,M.I.,,QLD,PHON,Male,"Commonwealth Parliament Offices Suite 2, Level 36 Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 9099,,,PO Box 228,Brisbane,QLD,4001,
Senator the Hon,Senator,Ruston,Anne,,Anne,A.,,SA,LP,Female,9 Renmark Avenue,,Renmark,SA,5341,(08) 8586 6600,(08) 8595 1700,1300 857 022,PO Box 1671,Renmark,SA,5341,Deputy Leader of the Opposition in the Senate
Senator,Senator,Scarr,Paul,Martin,Paul,P.M.,,QLD,LP,Male,"Tenancy 3, Level 6, Springfield Tower",145 Sinnathamby Boulevard,Springfield Central,QLD,4300,(07) 3186 9350,,1300 884 489,PO Box 4287,Springfield Central,QLD,4300,
Senator,Senator,Sharma,Devanand,Noel,Dave,D.N.,,NSW,LP,Male,"Commonwealth Parliamentary Offices, Suite 9, Level 21",1 Bligh Street,Sydney,NSW,2000,(02) 8289 9800,,,GPO Box 36,Sydney,NSW,2001,
Senator,Senator,Sheldon,Anthony,Vincent,Tony,A.V.,,NSW,ALP,Male,"Suite 11.02, Level 11",66 Goulburn Street,Sydney,NSW,2000,(02) 9719 1078,,1300 884 092,"Suite 11.02, Level 11, 66 Goulburn Street",Sydney,NSW,2000,Chief Government Whip in the Senate
Senator,Senator,Shoebridge,David,Martin,David,D.M.,,NSW,AG,Male,"Suite 201, Level 2",1A Lawson Square,Redfern,NSW,2016,(02) 8073 7400,,,"Suite 201, Level 2, 1A Lawson Square",Redfern,NSW,2016,
Senator,Senator,Smith,Dean,Anthony,Dean,D.A.,,WA,LP,Male,"Unit 2, 91-97 Wanneroo Road",,Greenwood,WA,6024,(08) 9343 4108,,,PO Box 40,Madeley,WA,6065,
Senator,Senator,Smith,Marielle,Feuerherdt,Marielle,M.F.,,SA,ALP,Female,T1 10 Park Terrace,,Bowden,SA,5007,(08) 8340 0444,,,T1 10 Park Terrace,Bowden,SA,5007,
Senator,Senator,Steele-John,Jordon,Alexander,Jordon,J.A.,,WA,AG,Male,"Office 1.19, Level 1",140 William Street,Perth,WA,6000,(08) 6245 3310,,,"Office 1.19, Level 1, 140 William Street",Perth,WA,6000,
Senator,Senator,Sterle,Glenn,,Glenn,G.,,WA,ALP,Male,Units G2 and G3 ,150-152 Riseley Street,Booragoon,WA,6154,(08) 9455 1420,(08) 9455 1421,1300 066 494,"Units G2 and G3, 150-152 Riseley Street",Booragoon,WA,6154,
Senator,Senator,Stewart,Jana,Naretha Anne,Jana,J.N.A.,,VIC,ALP,Female,293 Spring Street,,Reservoir,VIC,3073,(03) 9070 1920,,,PO Box 75,Reservoir,VIC,3073,
Senator,Senator,Thorpe,Lidia,Alma,Lidia,L.A.,,VIC,IND,Female,474 Smith Street,,Collingwood,VIC,3066,(03) 9070 1950,,,"PO Box 1526, 186-188 Smith Street",Collingwood,VIC,3066,Independent VIC Whip
Senator,Senator,Tyrrell,Tammy,Marie,Tammy,T.M.,,TAS,IND,Female,Shop 2,111-113 St John Street,Launceston,TAS,7250,(03) 9070 1910,,,PO Box 1087,Launceston,TAS,7250,Independent TAS Whip
Senator,Senator,Walker,Charlotte,,Charlotte,C.,,SA,ALP,Female,Commonwealth Parliament Offices,"Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,(08) 8205 1040,,,"Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,
Senator the Hon,Senator,Walsh,Jess,Cecille,Jess,J.C.,,VIC,ALP,Female,240-250 Lygon Street,,Brunswick East,VIC,3057,(03) 9381 5448,,,PO Box 233,Brunswick East,VIC,3057,Minister for Early Childhood Education; Minister for Youth
Senator,Senator,Waters,Larissa,Joy,Larissa,L. J.,,QLD,AG,Female,Level 2,251 Given Terrace,Paddington,QLD,4064,(07) 3367 0566,,,Locked bag 3004,Paddington,QLD,4064,Leader of the Australian Greens
Senator the Hon,Senator,Watt,Murray,Patrick,Murray,M.P.,,QLD,ALP,Male,"Suite 29.07, Level 29",1 Eagle Street,Brisbane,QLD,4000,(07) 5531 1033,,,GPO Box 228,Brisbane,QLD,4001,Minister for the Environment and Water
Senator,Senator,Whish-Wilson,Peter,Stuart,Peter,P.S.,,TAS,AG,Male,37 George Street,,Launceston,TAS,7250,(03) 6331 0033,(03) 6331 2044,1300 499 012,PO Box 5194,Launceston,TAS,7250,
Senator,Senator,Whiteaker,Ellie,,Ellie,E.,,WA,ALP,Female,183 Great Eastern Highway,,Belmont,WA,6104,(08) 9277 1502,,,PO Box 531,Belmont,WA,6984,
Senator,Senator,Whitten,Tyron,,Tyron,T.,,WA,PHON,Male,Suite C,117 Great Eastern Highway,Rivervale,WA,6103,(08) 9477 5411,,,PO Box 369,Belmont,WA,6984,
Senator the Hon,Senator,Wong,Penny,,Penny,P.,,SA,ALP,Female,Level 4,19 Gouger Street,Adelaide,SA,5000,(08) 8212 8272,(08) 8212 8273,1300 030 698,"PO Box 6237, Halifax Street",Adelaide,SA,5000,Minister for Foreign Affairs (Leader of the Government in the Senate)
