name,state,area,date gazetted,latitude,longitude
Bean,ACT,1913,13 July 2018,-35.2866,149.1357
Canberra,ACT,312,13 July 2018,-35.297,149.1372
Fenner,ACT,238,13 July 2018,-35.236,149.111
Banks,NSW,61,25 February 2016,-33.967,151.066
Barton,NSW,42,25 February 2016,-33.956,151.129
Bennelong,NSW,60,25 February 2016,-33.793,151.099
Berowra,NSW,751,25 February 2016,-33.568,151.047
Blaxland,NSW,59,25 February 2016,-33.888,151
Bradfield,NSW,105,25 February 2016,-33.732,151.146
Calare,NSW,32648,25 February 2016,-33.306,148.922
Chifley,NSW,113,25 February 2016,-33.735,150.838
Cook,NSW,67,25 February 2016,-34.031,151.1
Cowper,NSW,7271,25 February 2016,-30.384,152.87
Cunningham,NSW,536,25 February 2016,-34.259,150.916
Dobell,NSW,675,25 February 2016,-33.248,151.366
Eden-Monaro,NSW,31913,25 February 2016,-36.292,149.344
Farrer,NSW,126563,25 February 2016,-32.501,143.311
Fowler,NSW,62,25 February 2016,-33.9,150.877
Gilmore,NSW,6322,25 February 2016,-35.067,150.398
Grayndler,NSW,34,25 February 2016,-33.897,151.148
Greenway,NSW,90,25 February 2016,-33.733,150.913
Hughes,NSW,380,25 February 2016,-33.992,150.975
Hume,NSW,2674,25 February 2016,-34.409,149.045
Hunter,NSW,7253,25 February 2016,-32.375,150.778
Kingsford Smith,NSW,61,25 February 2016,-33.949,151.231
Lindsay,NSW,325,25 February 2016,-33.751,150.711
Lyne,NSW,16041,25 February 2016,-31.602,152.277
Macarthur,NSW,307,25 February 2016,-34.24,150.7
Mackellar,NSW,222,25 February 2016,-33.7,151.27
Macquarie,NSW,4387,25 February 2016,-33.3,149.6
McMahon,NSW,179,25 February 2016,-33.88,151.08
Mitchell,NSW,79,25 February 2016,-33.08,151.61
Newcastle,NSW,159,25 February 2016,-32.841,151.753
New England,NSW,75237,25 February 2016,-30.5,151.2
Page,NSW,19335,25 February 2016,-33.5,149.56
Parkes,NSW,406755,25 February 2016,-33.1,148.07
Parramatta,NSW,66,25 February 2016,-33.82,151.01
Paterson,NSW,948,25 February 2016,-32.38,151.41
Reid,NSW,49,25 February 2016,-33.87,151.08
Richmond,NSW,2133,25 February 2016,-33.48,150.53
Riverina,NSW,52410,25 February 2016,-34.92,147.23
Robertson,NSW,939,25 February 2016,-32.85,151.38
Shortland,NSW,204,25 February 2016,-32.89,151.64
Sydney,NSW,45,25 February 2016,-33.86,151.21
Warringah,NSW,51,25 February 2016,-33.72,151.28
Watson,NSW,51,25 February 2016,-33.91,150.92
Wentworth,NSW,31,25 February 2016,-33.89,151.22
Werriwa,NSW,111,25 February 2016,-34.02,150.87
Whitlam,NSW,2996,25 February 2016,-34.02,150.92
Lingiari,NT,1348073,7 February 2017,-19.416,133.363
Solomon,NT,211,7 February 2017,-12.4,130.82
Blair,QLD,6472,27 March 2018,-27.115,152.462
Bonner,QLD,374,27 March 2018,-27.5,153.138
Bowman,QLD,536,27 March 2018,-27.58,153.242
Brisbane,QLD,57,27 March 2018,-27.438,153.028
Capricornia,QLD,90903,27 March 2018,-22.051,148.189
Dawson,QLD,14630,27 March 2018,-20.204,148.003
Dickson,QLD,724,27 March 2018,-27.271,152.847
Fadden,QLD,387,27 March 2018,-27.58,153.17
Fairfax,QLD,1004,27 March 2018,-26.586,152.888
Fisher,QLD,1198,27 March 2018,-26.789,152.899
Flynn,QLD,132824,27 March 2018,-24.491,149.664
Forde,QLD,418,27 March 2018,-27.762,153.181
Griffith,QLD,57,27 March 2018,-27.486,153.062
Groom,QLD,5586,27 March 2018,-27.484,151.653
Herbert,QLD,941,27 March 2018,-19.208,146.616
Hinkler,QLD,3818,27 March 2018,-25.183,152.385
Kennedy,QLD,567377,27 March 2018,-19.634,142.089
Leichhardt,QLD,148559,27 March 2018,-14.357,143.121
Lilley,QLD,144,27 March 2018,-27.377,153.071
Longman,QLD,1237,27 March 2018,-27.014,152.895
Maranoa,QLD,729897,27 March 2018,-26.5,149.5
McPherson,QLD,229,27 March 2018,-27.8,153.17
Moncrieff,QLD,100,27 March 2018,-27.4,152.9
Moreton,QLD,109,27 March 2018,-27,152.85
Oxley,QLD,159,27 March 2018,-27.6,152.7
Petrie,QLD,152,27 March 2018,-27.2,153.07
Rankin,QLD,131,27 March 2018,-27.6,153.09
Ryan,QLD,370,27 March 2018,-27.25,152.92
