Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Hon,Mr,MP,Albanese,Anthony,Norman,Anthony,A. N.,Grayndler,NSW,ALP,Male,(02) 6277 4022,(02) 6277 8562,334A Marrickville Road,,Marrickville,NSW,2204,(02) 9564 3588,(02) 9564 1734,,PO Box 5100,Marrickville,NSW,2204,,,,,Leader of the Opposition,
Mr,Mr,OAM MP,Alexander,John,Gilbert,John,J. G.,Bennelong,NSW,LP,Male,(02) 6277 4804,(02) 6277 8581,32 Beecroft Road,,Epping,NSW,2121,(02) 9869 4288,(02) 9869 4833,,PO Box 872,Epping,NSW,2121,,,,,,
Dr,Dr,MP,Allen,Katrina,Jane,Katie,K. J,Higgins,VIC,LP,Female,(02) 6277 4100,(02) 6277 8408,1/1343 Malvern Road,,Malvern,VIC,3144,(03) 9822 4422,,,1/1343 Malvern Road,Malvern,VIC,3144,,,,,,
Dr,Dr,MP,Aly,Anne,,Anne,A.,Cowan,WA,ALP,Female,(02) 6277 4876,(02) 6277 8526,"Shop 3, Kingsway Shopping Centre",168 Wanneroo Road,Madeley,WA,6065,(08) 9409 4517,(08) 9409 9361,,PO Box 219,Kingsway,WA,6065,,,,,,
Hon,Mrs,MP,Andrews,Karen,Lesley,Karen,Karen,McPherson,QLD,LNP,Female,(02) 6277 7070,,Ground Floor The Point 47 Watts Drive,,Varsity Lakes,QLD,4227,(07) 5580 9111,(07) 5580 9700,,PO Box 409,Varsity Lakes,QLD,4227,,,,,,"Minister for Industry, Science and Technology"
Hon,Mr,MP,Andrews,Kevin,James,Kevin,Kevin,Menzies,VIC,LP,Male,(02) 6277 4023,(02) 6277 4074,1st Floor 651-653 Doncaster Road,,Doncaster,VIC,3108,(03) 9848 9900,(03) 9848 2741,,PO Box 124,Doncaster,VIC,3108,,,,,,
Mrs,Mrs,MP,Archer,Bridget,Kathleen,Bridget,B. K.,Bass,TAS,LP,Female,(02) 6277 4464,(02) 6277 8475,100 St John Street ,,Launceston,TAS,7250,(03) 6334 7033,(03) 6334 7055,,PO Box 5035,Launceston,TAS,7250,,,,,,
Mr,Mr,MP,Bandt,Adam,Paul,,A. P.,Melbourne,VIC,AG,Male,(02) 6277 4775,(02) 6277 8583,296 Brunswick Street,,Fitzroy,VIC,3065,(03) 9417 0759,,,296 Brunswick Street,Fitzroy,VIC,3065,,,,,Leader of the Australian Greens,
Ms,Ms,MP,Bell,Angie,Marion,Angie,A. M,Moncrieff,QLD,LNP,Female,(02) 6277 4390,(02) 6277 8409,65-67 Thomas Drive,,Chevron Island ,QLD,4217,(07) 5504 6000,,,PO Box 4922,Gold Coast MC,QLD,9726,,,,,,
Hon,Ms,MP,Bird,Sharon,Leah,Sharon,S. L.,Cunningham,NSW,ALP,Female,(02) 6277 4244,(02) 6277 4260,74 Crown Street,,Wollongong,NSW,2500,(02) 4228 5899,(02) 4228 5077,,PO Box 387,Wollongong,NSW,2520,,,,,,
