Title,Salutation,Surname,First Name,Other Name,Preferred Name,Initials,Post Nominals,State,Political Party,Gender,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Label Address,Label Suburb,Label State,Label postcode,Parliamentary Titles
Senator the Hon,Senator,Abetz,Eric,,Eric,E.,,TAS,LP,Male,Highbury House,136 Davey Street,Hobart,TAS,7000,(03) 6224 3707,(03) 6224 3709,1300 132 493,GPO Box 1675,Hobart,TAS,7001,
Senator,Senator,Antic,Alexander,,Alex,A.,,SA,LP,Male,"Commonwealth Parliament Offices, Suite 8","Level 12, 100 King William Street",Adelaide,SA,5000,(08) 8205 1080,,,"Commonwealth Parliament Offices, Suite 8, Level 12, 100 King William Street",Adelaide,SA,5000,
Senator,Senator,Askew,Wendy,,Wendy,W.,,TAS,LP,Female,46 Cameron Street,,Launceston,TAS,7250,(03) 6331 8501,,1300 134 468,PO Box 97,Launceston,TAS,7250,
Senator,Senator,Ayres,Timothy,,Tim,T.,,NSW,ALP,Male,"Suite 5, Level 22",56 Pitt  Street,Sydney,NSW,2000,(02) 9159 9330,,,PO Box R1740,Royal Exchange,NSW,1225,
Senator,Senator,Bilyk,Catryna,Louise,Catryna,C. L.,,TAS,ALP,Female,"Suite 3, Kingston Plaza",20 Channel Highway,Kingston,TAS,7050,(03) 6229 4444,(03) 6229 4100,1300 855 225,PO Box 320,Kingston,TAS,7051,
Senator the Hon,Senator,Birmingham,Simon,John,Simon,S. J.,,SA,LP,Male,107 Sir Donald Bradman Drive,,Hilton,SA,5033,(08) 8354 1644,(08) 8354 1655,1300 301 638,107 Sir Donald Bradman Drive,Hilton,SA,5033," Minister for Trade, Tourism and Investment (Deputy Leader of the Government in the Senate)"
Senator,Senator,Bragg,Andrew,James,Andrew,A.J.,,NSW,LP,Male,"Suite 23.03, Level 23",56 Pitt  Street,Sydney,NSW,2000,(02) 9159 9320,,,GPO Box 5411,Sydney,NSW,2001,
Senator,Senator,Brockman,William,Edward,Slade,W.E.S.,,WA,LP,Male,"Unit 4, ",1 Harper Terrace,South Perth,WA,6151,(08) 6245 3305,,,"Unit 4, 1 Harper Terrace ",South Perth,WA,6151,Deputy Government Whip in the Senate
Senator,Senator,Brown,Carol,Louise,Carol,C. L.,,TAS,ALP,Female,"AMP Building, Ground Floor",27 Elizabeth Street,Hobart,TAS,7001,(03) 6231 0099,(03) 6231 3009,1300 030 532,GPO Box 376,Hobart,TAS,7001,
Senator the Hon,Senator,Canavan,Matthew,James,Matthew,M.J.,,QLD,NATS,Male,Ground Floor,34 East Street,Rockhampton,QLD,4700,(07) 4927 2003,(07) 4927 2004,1300 030 887,PO Box 737,Rockhampton,QLD,4700,(Deputy Leader of the Nationals in the Senate) 
Senator the Hon,Senator,Carr,Kim,John,Kim,K. J.,,VIC,ALP,Male,62 Lygon Street,,Carlton South,VIC,3053,(03) 9639 2798,(03) 9639 3109,,62 Lygon Street,Carlton South,VIC,3053,
Senator the Hon,Senator,Cash,Michaelia,Clare,Michaelia,M.C.,,WA,LP,Female,44 Outram Street,,West Perth,WA,6005,(08) 9226 2000,(08) 9226 2211,,PO Box 1966,West Perth,WA,6872,"Minister for Employment, Skills, Small and Family Business"
Senator,Senator,Chandler,Claire,,Claire,C.,,TAS,LP,Female,152 Macquarie Street,,Hobart,TAS,7000,(03) 6223 1135,,,GPO Box 271,Hobart,TAS,7001,
Senator,Senator,Chisholm,Anthony,,Anthony,A.,,QLD,ALP,Male,Crossroads,454 Gympie Road,Strathpine,QLD,4500,(07) 3881 3710,,,PO Box 2246,Strathpine,QLD,4500,
Senator,Senator,Ciccone,Raffaele,,Raff,R.,,VIC,ALP,Male,"Ground Floor, 1013 Whitehorse Road",,Box Hill,VIC,3128,(03) 9890 7022,(03) 9890 7122,,"Ground Floor, 1013 Whitehorse Road",Box Hill,VIC,3128,Deputy Opposition Whip in the Senate
Senator the Hon,Senator,Colbeck,Richard,Mansell,Richard,R.M.,,TAS,LP,Male,5-7 Best Street,,Devonport,TAS,7310,(03) 6424 5960,(03) 6423 5244,,PO Box 603,Devonport,TAS,7310,Minister for Aged Care and Senior Australians Minister for Youth and Sport
Senator the Hon,Senator,Cormann,Mathias,Hubert Paul,Mathias,M.H.P.,,WA,LP,Male,"Level 38, Exchange Plaza",2 The Esplanade,Perth,WA,6000,(08) 9325 4227,(08) 9325 6857,1300 030 728,GPO Box B58,Perth,WA,6838,Minister for Finance (Vice President of the Executive Council and Leader of the Government in the Senate)
Senator,Senator,Davey,Perin,McGregor,Perin,P.M.,,NSW,NATS,Female,217 Cressy Street,,Deniliquin,NSW,2710,(02) 9159 9310,,1300 301 816,PO Box 612,Deniliquin,NSW,2710,Nationals Whip in the Senate
Senator,Senator,Di Natale,Richard,,Richard,R.,,VIC,AG,Male,4 Treasury Place,,East Melbourne,VIC,3002,(03) 9232 8140,,1300 883 502,4 Treasury Place,East Melbourne,VIC,3002,
Senator,Senator,Dodson,Patrick,,Patrick,P.,,WA,ALP,Male,Unit 1,23 Coghlan St,Broome,WA,6725,(08) 9193 5955,(08) 9192 6010,,PO Box 3490,Broome,WA,6725,
Senator the Hon,Senator,Duniam,Jonathon,Roy,Jonathon,J.R.,,TAS,LP,Male,85 Macquarie Street,,Hobart,TAS,7000,(03) 6231 2444,,,GPO Box 453,Hobart,TAS,7001,Assistant Minister for Forestry and Fisheries Assistant Minister for Regional Tourism
Senator the Hon,Senator,Farrell,Donald,Edward,Don,D. E.,,SA,ALP,Male,Level 5,19 Gilles Street,Adelaide,SA,5000,(08) 8231 8400,,,PO Box 6338,Halifax Street,SA,5000,
Senator,Senator,Faruqi,Mehreen,,Mehreen,M.,,NSW,AG,Female,72 Campbell Street,,Surry Hills,NSW,2010,(02) 9211 1500,,,72 Campbell Street,Surry Hills,NSW,2010,
Senator the Hon,Senator,Fawcett,David,Julian,David,D.J.,,SA,LP,Male,"Commonwealth Parliament Offices, Suite 4, Level 13",100 King William Street,Adelaide,SA,5000,(08) 8205 1040,(08) 8205 1045,,"Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,
Senator the Hon,Senator,Fierravanti-Wells,Concetta,Anna,Concetta,C.,,NSW,LP,Female,"Suite 1, Level 2,","6-8 Regent Street,",Wollongong,NSW,2500,(02) 4226 1700,(02) 4226 1733,1300 073 268,PO Box 886,Wollongong,NSW,2520,
Senator,Senator,Gallacher,Alexander,McEachian,Alex,A. M.,,SA,ALP,Male,265 Churchill Road,,Prospect,SA,5082,(08) 8269 6022,,,265 Churchill Road,Prospect,SA,5082,
Senator,Senator,Gallagher,Katherine,Ruth,Katy,K.,,ACT,ALP,Female,"Unit A, Ground Floor, Law Society Building",11 London Circuit,Canberra,ACT,2601,(02) 6230 0411,(02) 6230 0413,,"Unit A, Ground Floor, Law Society Building",Canberra,ACT,2601,Manager of Opposition Business in the Senate
Senator,Senator,Green,Nita,Louise,Nita,N.L.,,QLD,ALP,Female,141 - 143 Abbott Street,,Cairns,QLD,4870,(07) 4031 3498,,,PO Box 4716,Cairns Post Shop,QLD,4870,
Senator,Senator,Griff,Stirling,,Stirling,S.,,SA,CA,Male,"Level 3, 27 Leigh Street",,Adelaide,SA,5000,(08) 8212 1409,(08) 8231 2053,,PO Box 8117,Adelaide,SA,5000,
Senator,Senator,Hanson,Pauline,Lee,Pauline,P.L.,,QLD,PHON,Female,"Suites 5 and 6, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 7644,(07) 3221 8422,,GPO Box 228,Brisbane,QLD,4001,
Senator,Senator,Hanson-Young,Sarah,Coral,Sarah,S.C.,,SA,AG,Female,"Level 7, 147  Pirie Street",,Adelaide,SA,5000,(08) 8227 0425,(08) 8227 0426,,"Level 7, 147 Pirie Street",Adelaide,SA,5000,
Senator the Hon,Senator,Henderson,Sarah,Moya,Sarah,S. M.,,VIC,LP,Female,231-233 Moorabool Street,,Geelong,VIC,3220,(03) 5221 5900,,,231-233 Moorabool Street,Geelong,VIC,3220,
Senator,Senator,Hughes,Hollie,Alexandra,Hollie,H.A.,,NSW,LP,Female,Suite 14.02 (Level 14) Royal Exchange Building,56 Pitt  Street,Sydney,NSW,2000,(02) 9159 9325,,,PO Box 36,Sydney,NSW,2001,
Senator the Hon,Senator,Hume,Jane,,Jane,J.,,VIC,LP,Female,223 Bridge Road,,Richmond,VIC,3121,(03) 9428 1773,,,PO Box 224,Richmond,VIC,3121,"Assistant Minister for Superannuation, Financial Services and Financial Technology"
Senator the Hon,Senator,Keneally,Kristina,Kerscher,Kristina,K.K.,,NSW,ALP,Female,Suite 503 Level 5,56 Station Street,Parramatta,NSW,2150,(02) 9891 9139,,1300 088 904,PO Box W4,Parramatta Westfield,NSW,2150,Deputy Leader of the Opposition in the Senate
Senator,Senator,Kitching,Kimberley,Jane Elizabeth,Kimberley,K.,,VIC,ALP,Female,Tenancy 3,6 English Street,Essendon Fields,VIC,3041,(03) 9374 1640,,,"Tenancy 3, 6 English Street",Essendon Fields,VIC,3041,
Senator,Senator,Lambie,Jacqui,,Jacqui,J.,,TAS,JLN,Female,Shop 4,22 Mount Street,Burnie,TAS,7320,(03) 6431 3112,,,PO Box 256,Burnie,TAS,7320,
Senator,Senator,Lines,Susan,,Sue,S.,,WA,ALP,Female,51 Ord Street,,West Perth,WA,6005,(08) 9481 4844,(08) 9481 4244,1300 065 388,PO Box 1322,West Perth,WA,6872,Deputy President and Chair of Committees
Senator,Senator,McAllister,Jennifer,Ryll,Jenny,J.R.,,NSW,ALP,Female,Suite 1,1 Park Avenue,Drummoyne,NSW,2047,(02) 9719 8100,(02) 9719 8078,1300 030 752,"Suite 1, 1 Park Avenue",Drummoyne,NSW,2047,
Senator,Senator,McCarthy,Malarndirri,,Malarndirri,M.,,NT,ALP,Female,38B Mitchell Street,,Darwin,NT,800,(08) 8941 0003,(08) 8941 0071,,PO Box 1596,Darwin,NT,801,Deputy Opposition Whip in the Senate
Senator,Senator,McDonald,Susan,Eileen,Susan,S.E.,,QLD,NATS,Female,"Level 1, 131 Denham Street",,Townsville,QLD,4810,(07) 4771 3066,,1300 301 949,PO Box 2185,Townsville,QLD,4810,
Senator the Hon,Senator,McGrath,James,,James,J.,,QLD,LP,Male,Tenancy A,2-4 Mitchell Street,Nambour,QLD,4560,(07) 5441 1800,(07) 5441 1699,1300 076 412,PO Box 772,Nambour,QLD,4560,Deputy Government Whip in the Senate
Senator the Hon,Senator,McKenzie,Bridget,,Bridget,B.,,VIC,NATS,Female,172 High Street,,Wodonga,VIC,3690,(02) 6024 2560,(02) 6024 2635,1300 889 103,172 High Street ,Wodonga,VIC,3690,(Leader of the Nationals in the Senate) 
Senator,Senator,McKim,Nicholas,James,Nick,N.J.,,TAS,AG,Male,149B Macquarie Street,,Hobart,TAS,7000,(03) 6224 8899,(03) 6224 7599,1300 013 720,GPO Box 896,Hobart,TAS,7001,Deputy Leader of the Australian Greens in the Senate
Senator ,Senator,McLachlan,Andrew,Lockhart,Andrew,A.L.,CSC,SA,LP,Male,36 Grenfell Street,,Kent Town,SA,5067,(08) 8362 8600,(08) 8362 8579,,36 Grenfell Street,Kent Town,SA,5067,
Senator,Senator,McMahon,Samantha,Jane,Sam,S. J. ,,NT,CLP,Female,"1, 229 McMillans Road",,Jingili,NT,810,(08) 8948 3555,(08) 8948 3544,,PO Box 4021,Casuarina,NT,811,
