Title,Salutation,Surname,First Name,Other Names,Preferred Name,Initials,State,Political Party,Gender,Honorific,ElectorateAddressLine1,ElectorateAddressLine2,ElectorateSuburb,ElectorateState,ElectoratePostCode,ElectorateTelephone,ElectorateFax,ElectorateTollFree,LabelAddress,LabelSuburb,LabelState,LabelPostCode,Parliamentary Title
Senator the Hon,Senator,Abetz,Eric,,Eric,E.,TAS,LP,MALE,,Highbury House,136 Davey Street,Hobart,Tas,7000,(03) 6224 3707,(03) 6224 3709,1300 132 493,GPO Box 1675,Hobart,Tas,7001,
Senator,Senator,Anning,Fraser,,Fraser,F.,QLD,KAP,MALE,,"Suite 2, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 9099,(07) 3221 9399,,GPO Box 228,Brisbane,QLD,4001,
Senator,Senator,Bernardi,Cory,,Cory,C.,SA,AC,MALE,,36 Grenfell Street,,Kent Town,SA,5067,(08) 8362 8600,(08) 8362 8579,1300 880 569,PO Box 2192,Kent Town,SA,5071,
Senator,Senator,Bilyk,Catryna,Louise,Catryna,C. L.,TAS,ALP,FEMALE,,"Shop 3, Kingston Plaza",20 Channel Highway,Kingston,Tas,7050,(03) 6229 4444,(03) 6229 4100,1300 855 225,PO Box 320,Kingston,Tas,7051,
Senator the Hon,Senator,Birmingham,Simon,John,Simon,S. J.,SA,LP,MALE,,107 Sir Donald Bradman Drive,,Hilton,SA,5033,(08) 8354 1644,(08) 8354 1655,1300 301 638,107 Sir Donald Bradman Drive,Hilton,SA,5033,"Minister for Trade, Tourism and Investment, (Deputy Leader of the Government in the Senate)"
Senator,Senator,Brockman,Slade,,Slade,S.,WA,LP,MALE,,"Level 40, Exchange Toer", 2 The Esplanade,Perth,WA,6000,(08) 9414 7288,,,"Level 40, Exchange Tower, 2 The Esplanade",Perth,WA,6000,
Senator,Senator,Brown,Carol,Louise,Carol,C. L.,TAS,ALP,FEMALE,,"AMP Building, Ground Floor",27 Elizabeth Street,Hobart,Tas,7001,(03) 6231 0099,(03) 6231 3009,1300 301 532,GPO Box 376,Hobart,Tas,7001,
Senator,Senator,Burston,Brian,,Brian,B.,NSW,UAP,MALE,,"Suite 103, Level 1",43-43a The Boulevarde,Toronto,NSW,2283,(02) 4959 1044,(02) 4950 4833,1300 498 639,"Suite 103, Level 1, 43-43a The Boulevarde",Toronto,NSW,2283,
Senator,Senator,Bushby,David,Christopher,David,D. C,TAS,LP,MALE,,Suite 1,71 Paterson Street,Launceston,TAS,7250,(03) 6331 8501,,1300 134 468,PO Box 97,Launceston,TAS,7250,Chief Government Whip in the Senate
Senator the Hon,Senator,Cameron,Douglas,Niven,Doug,D. N.,NSW,ALP,MALE,,Unit 6,5 Raymond Road,Springwood,NSW,2777,(02) 4751 4288,(02) 4751 3288,1300 226 005,PO Box 322,Springwood,NSW,2777,
